Dataset,Accuracy,Precision,Recall,F1_score,ROC_AUC
all_clusters_metabolic,0.9,0.823529411764706,1,0.9032258064516129,0.9732142857142857
all_clusters_nonmetabolic,0.9090909090909091,0.8333333333333334,1,0.9090909090909091,1
all_clusters_random,1,1,1,1,1
lcam_hi_metabolic,0.72,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.8506493506493507
lcam_hi_nonmetabolic,0.7575757575757576,0.7857142857142857,0.6875,0.7333333333333334,0.8198529411764706
lcam_hi_random,0.9,0.8,1,0.888888888888889,0.9166666666666666
lcam_lo_metabolic,0.85,0.8,0.8888888888888888,0.8421052631578948,0.9595959595959596
lcam_lo_nonmetabolic,1,1,1,1,1
lcam_lo_random,0.825,0.9285714285714285,0.6842105263157895,0.7878787878787878,0.9122807017543859
lcam_both_metabolic,0.9615384615384616,0.9230769230769231,1,0.9600000000000001,1
lcam_both_nonmetabolic,0.7941176470588235,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9584775086505191
lcam_both_random,0.9523809523809523,0.888888888888889,1,0.9411764705882353,1
